D:\Gurpartap Imp\self driving car\IMG\center_2020_04_20_20_05_35_206.jpg, D:\Gurpartap Imp\self driving car\IMG\left_2020_04_20_20_05_35_206.jpg, D:\Gurpartap Imp\self driving car\IMG\right_2020_04_20_20_05_35_206.jpg, 0, 0, 0, 7.798152E-05
D:\Gurpartap Imp\self driving car\IMG\center_2020_04_20_20_05_35_307.jpg, D:\Gurpartap Imp\self driving car\IMG\left_2020_04_20_20_05_35_307.jpg, D:\Gurpartap Imp\self driving car\IMG\right_2020_04_20_20_05_35_307.jpg, 0, 0, 0, 7.797567E-05
D:\Gurpartap Imp\self driving car\IMG\center_2020_04_20_20_05_35_408.jpg, D:\Gurpartap Imp\self driving car\IMG\left_2020_04_20_20_05_35_408.jpg, D:\Gurpartap Imp\self driving car\IMG\right_2020_04_20_20_05_35_408.jpg, 0, 0, 0, 7.83237E-05
D:\Gurpartap Imp\self driving car\IMG\center_2020_04_20_20_05_35_508.jpg, D:\Gurpartap Imp\self driving car\IMG\left_2020_04_20_20_05_35_508.jpg, D:\Gurpartap Imp\self driving car\IMG\right_2020_04_20_20_05_35_508.jpg, 0, 0, 0, 7.839885E-05
D:\Gurpartap Imp\self driving car\IMG\center_2020_04_20_20_05_35_609.jpg, D:\Gurpartap Imp\self driving car\IMG\left_2020_04_20_20_05_35_609.jpg, D:\Gurpartap Imp\self driving car\IMG\right_2020_04_20_20_05_35_609.jpg, 0, 0, 0, 7.816235E-05
D:\Gurpartap Imp\self driving car\IMG\center_2020_04_20_20_05_35_711.jpg, D:\Gurpartap Imp\self driving car\IMG\left_2020_04_20_20_05_35_711.jpg, D:\Gurpartap Imp\self driving car\IMG\right_2020_04_20_20_05_35_711.jpg, 0, 0, 0, 7.818065E-05
D:\Gurpartap Imp\self driving car\IMG\center_2020_04_20_20_05_35_813.jpg, D:\Gurpartap Imp\self driving car\IMG\left_2020_04_20_20_05_35_813.jpg, D:\Gurpartap Imp\self driving car\IMG\right_2020_04_20_20_05_35_813.jpg, 0, 0, 0, 7.939379E-05
D:\Gurpartap Imp\self driving car\IMG\center_2020_04_20_20_05_35_914.jpg, D:\Gurpartap Imp\self driving car\IMG\left_2020_04_20_20_05_35_914.jpg, D:\Gurpartap Imp\self driving car\IMG\right_2020_04_20_20_05_35_914.jpg, 0, 0, 0, 7.855935E-05
D:\Gurpartap Imp\self driving car\IMG\center_2020_04_20_20_05_36_016.jpg, D:\Gurpartap Imp\self driving car\IMG\left_2020_04_20_20_05_36_016.jpg, D:\Gurpartap Imp\self driving car\IMG\right_2020_04_20_20_05_36_016.jpg, 0, 0, 0, 7.816788E-05
D:\Gurpartap Imp\self driving car\IMG\center_2020_04_20_20_05_36_118.jpg, D:\Gurpartap Imp\self driving car\IMG\left_2020_04_20_20_05_36_118.jpg, D:\Gurpartap Imp\self driving car\IMG\right_2020_04_20_20_05_36_118.jpg, 0, 0, 0, 7.875809E-05
